pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
50,c,19,2,78,2,,,,,232.898690499831,233.89824769995175,233.89824769995175,233.89824769995175,233.89824769995175,233.89824769995175,234.8977903998457,234.8977903998457,c,1,0.3323151001241058,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,19,3,79,3,,,,,235.24762569996528,236.24752229987644,236.24752229987644,236.24752229987644,236.24752229987644,236.24752229987644,237.24712459999137,237.24712459999137,z,1,0.4369190002325922,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,20,0,80,0,,,,,237.7136677999515,238.7134054999333,238.7134054999333,238.7134054999333,238.7134054999333,238.7134054999333,239.71295149996877,239.71295149996877,x,1,0.9015355999581516,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,20,1,81,1,,,,,240.64601999986917,241.6457068999298,241.6457068999298,241.6457068999298,241.6457068999298,241.6457068999298,242.64523199992254,242.64523199992254,v,1,1.6925674001686275,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,20,2,82,2,,,,,244.36131139984354,245.36103839986026,245.36103839986026,245.36103839986026,245.36103839986026,245.36103839986026,246.36084239999764,246.36084239999764,c,1,0.3350122000556439,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,20,3,83,3,,,,,246.7273283000104,247.72679849993438,247.72679849993438,247.72679849993438,247.72679849993438,247.72679849993438,248.7266696000006,248.7266696000006,z,1,0.35723230009898543,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,21,0,84,0,,,,,249.10959009989165,250.10939119989052,250.10939119989052,250.10939119989052,250.10939119989052,250.10939119989052,251.10928720002994,251.10928720002994,x,1,0.3282820002641529,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,21,1,85,1,,,,,251.45891399984248,252.45869009988382,252.45869009988382,252.45869009988382,252.45869009988382,252.45869009988382,253.45817639981396,253.45817639981396,v,1,0.8706545000895858,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,21,2,86,2,,,,,254.35780259990133,255.35743810003623,255.35743810003623,255.35743810003623,255.35743810003623,255.35743810003623,256.3573592999019,256.3573592999019,c,1,0.3591127002146095,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,21,3,87,3,,,,,256.74058249988593,257.74015869991854,257.74015869991854,257.74015869991854,257.74015869991854,257.74015869991854,258.7400133998599,258.7400133998599,z,1,0.3511717999354005,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-50,x,22,0,88,0,,,,,259.1229895998258,260.12284339987673,260.12284339987673,260.12284339987673,260.12284339987673,260.12284339987673,261.12224129983224,261.12224129983224,x,1,0.8335436000488698,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
150,v,22,1,89,1,,,,,261.97206489997916,262.9717019998934,262.9717019998934,262.9717019998934,262.9717019998934,262.9717019998934,263.9713855998125,263.9713855998125,v,1,0.769235200015828,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
50,c,22,2,90,2,,,,,264.7712418998126,265.7705391999334,265.7705391999334,265.7705391999334,265.7705391999334,265.7705391999334,266.77018899982795,266.77018899982795,c,1,0.31866380013525486,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
-150,z,22,3,91,3,,,,,267.12019219994545,268.1203788998537,268.1203788998537,268.1203788998537,268.1203788998537,268.1203788998537,269.11960719991475,269.11960719991475,z,1,0.3274324999656528,863891,001,2022-10-06_11h19.38.825,Tutorial 4,2022.2.4,60.06334276617484,
